timestamp,value
2026-01-01 00:00:00,1180
2026-01-01 01:00:00,1125
2026-01-01 02:00:00,1088
2026-01-01 03:00:00,1062
2026-01-01 04:00:00,1074
2026-01-01 05:00:00,1132
2026-01-01 06:00:00,1285
2026-01-01 07:00:00,1510
2026-01-01 08:00:00,1688
2026-01-01 09:00:00,1765
2026-01-01 10:00:00,1818
2026-01-01 11:00:00,1840
2026-01-01 12:00:00,1796
2026-01-01 13:00:00,1768
2026-01-01 14:00:00,1745
2026-01-01 15:00:00,1782
2026-01-01 16:00:00,1885
2026-01-01 17:00:00,2050
2026-01-01 18:00:00,2195
2026-01-01 19:00:00,2130
2026-01-01 20:00:00,1988
2026-01-01 21:00:00,1760
2026-01-01 22:00:00,1515
2026-01-01 23:00:00,1328
2026-01-02 00:00:00,1195
2026-01-02 01:00:00,1138
2026-01-02 02:00:00,1096
2026-01-02 03:00:00,1078
2026-01-02 04:00:00,1085
2026-01-02 05:00:00,1150
2026-01-02 06:00:00,1310
2026-01-02 07:00:00,1545
2026-01-02 08:00:00,1712
2026-01-02 09:00:00,1798
2026-01-02 10:00:00,1845
2026-01-02 11:00:00,1868
2026-01-02 12:00:00,1820
2026-01-02 13:00:00,1790
2026-01-02 14:00:00,1772
2026-01-02 15:00:00,1815
2026-01-02 16:00:00,1922
2026-01-02 17:00:00,2090
2026-01-02 18:00:00,2242
2026-01-02 19:00:00,2165
2026-01-02 20:00:00,2015
2026-01-02 21:00:00,1792
2026-01-02 22:00:00,1548
2026-01-02 23:00:00,1355
2026-01-03 00:00:00,1210
2026-01-03 01:00:00,1152
2026-01-03 02:00:00,1110
2026-01-03 03:00:00,1088
2026-01-03 04:00:00,1105
2026-01-03 05:00:00,1175
2026-01-03 06:00:00,1345
2026-01-03 07:00:00,1578
2026-01-03 08:00:00,1750
2026-01-03 09:00:00,1838
2026-01-03 10:00:00,1885
2026-01-03 11:00:00,1905
2026-01-03 12:00:00,1862
2026-01-03 13:00:00,1830
2026-01-03 14:00:00,1805
2026-01-03 15:00:00,1848
2026-01-03 16:00:00,1958
2026-01-03 17:00:00,2135
2026-01-03 18:00:00,2290
2026-01-03 19:00:00,2210
2026-01-03 20:00:00,2058
2026-01-03 21:00:00,1838
2026-01-03 22:00:00,1585
2026-01-03 23:00:00,1388
